Title,Duration,Genre,Rating,Gross,Director,Lead,Year
The Replacement Killers,87 min,"Action, Crime, Thriller",R,18.97,Antoine Fuqua,Chow Yun-Fat,1998
Haywire,93 min,"Action, Drama, Thriller",R,18.94,Steven Soderbergh,Gina Carano,2011
The Seventh Sign,97 min,"Drama, Fantasy, Horror",R,18.88,Carl Schultz,Demi Moore,1988
Rambo: Last Blood,89 min,"Action, Crime, Thriller",R,18.87,Adrian Grunberg,Sylvester Stallone,2019
Shark Night,90 min,"Horror, Thriller",PG-13,18.87,David R. Ellis,Sara Paxton,2011
Above the Law,99 min,"Action, Crime, Drama",R,18.87,Andrew Davis,Steven Seagal,1988
The Marine,92 min,"Action, Comedy, Drama",PG-13,18.84,John Bonito,John Cena,2006
Suspect,121 min,"Crime, Drama, Thriller",R,18.78,Peter Yates,Cher,1987
The Believers,114 min,"Crime, Drama, Horror",R,18.75,John Schlesinger,Martin Sheen,1987
Eye in the Sky,102 min,"Action, Drama, Thriller",R,18.7,Gavin Hood,Helen Mirren,2015
Year of the Dragon,134 min,"Action, Crime, Drama",R,18.7,Michael Cimino,Mickey Rourke,1985
The Ninth Gate,133 min,"Mystery, Thriller",R,18.66,Roman Polanski,Johnny Depp,1999
The Quick and the Dead,108 min,"Action, Romance, Thriller",R,18.64,Sam Raimi,Sharon Stone,1995
Man on a Ledge,102 min,"Action, Crime, Thriller",PG-13,18.62,Asger Leth,Sam Worthington,2012
The Fan,116 min,"Action, Drama, Sport",R,18.57,Tony Scott,Robert De Niro,1996
Project X,108 min,"Comedy, Drama, Sci-Fi",PG,18.53,Jonathan Kaplan,Matthew Broderick,1987
You're Next,95 min,"Horror, Thriller",R,18.47,Adam Wingard,Sharni Vinson,2011
Into the Blue,110 min,"Action, Adventure, Crime",PG-13,18.47,John Stockwell,Paul Walker,2005
Prophecy,102 min,"Horror, Sci-Fi, Thriller",PG,18.39,John Frankenheimer,Talia Shire,1979
Sugar Hill,123 min,"Crime, Drama, Thriller",R,18.27,Leon Ichaso,Wesley Snipes,1993
Next,96 min,"Action, Sci-Fi, Thriller",PG-13,18.21,Lee Tamahori,Nicolas Cage,2007
The Last Castle,131 min,"Action, Drama, Thriller",R,18.21,Rod Lurie,Robert Redford,2001
Dead Men Don't Wear Plaid,88 min,"Comedy, Crime, Mystery",PG,18.2,Carl Reiner,Steve Martin,1982
Chernobyl Diaries,86 min,"Horror, Mystery, Thriller",R,18.12,Bradley Parker,Jesse McCartney,2012
New Nightmare,112 min,"Fantasy, Horror, Mystery",R,18.09,Wes Craven,Heather Langenkamp,1994
Postal,100 min,"Action, Comedy, Crime",R,18.01,Uwe Boll,Zack Ward,2007
The Glass House,106 min,"Crime, Drama, Mystery",PG-13,18.0,Daniel Sackheim,Diane Lane,2001
Red Planet,106 min,"Action, Sci-Fi, Thriller",PG-13,18.0,Antony Hoffman,Val Kilmer,2000
The Crow: City of Angels,84 min,"Action, Crime, Fantasy",R,17.88,Tim Pope,Vincent Perez,1996
The Contender,126 min,"Drama, Thriller",R,17.87,Rod Lurie,Joan Allen,2000
Punch-Drunk Love,95 min,"Comedy, Drama, Romance",R,17.84,Paul Thomas Anderson,Adam Sandler,2002
Bad Times at the El Royale,141 min,"Crime, Drama, Mystery",R,17.84,Drew Goddard,Jeff Bridges,2018
The Day of the Locust,144 min,"Drama, Thriller",R,17.79,John Schlesinger,Donald Sutherland,1975
The Delta Force,125 min,"Action, Adventure, Drama",R,17.77,Menahem Golan,Chuck Norris,1986
Halloween 4: The Return of Michael Myers,88 min,"Horror, Thriller",R,17.77,Dwight H. Little,Donald Pleasence,1988
The Rage: Carrie 2,104 min,"Drama, Horror, Sci-Fi",R,17.76,Katt Shea,Robert Mandel,1999
Apollo 18,86 min,"Horror, Mystery, Sci-Fi",PG-13,17.69,Gonzalo López-Gallego,Warren Christie,2011
The Big Easy,102 min,"Comedy, Crime, Drama",R,17.69,Jim McBride,Dennis Quaid,1986
Frantic,120 min,"Crime, Drama, Mystery",R,17.64,Roman Polanski,Harrison Ford,1988
Parker,118 min,"Action, Crime, Thriller",R,17.62,Taylor Hackford,Jason Statham,2013
Operation Finale,122 min,"Biography, Drama, History",PG-13,17.61,Chris Weitz,Oscar Isaac,2018
The Last King of Scotland,123 min,"Biography, Drama, History",R,17.61,Kevin Macdonald,James McAvoy,2006
Last Man Standing,101 min,"Action, Crime, Drama",R,17.6,Walter Hill,Bruce Willis,1996
Eye of the Needle,112 min,"Romance, Thriller, War",R,17.58,Richard Marquand,Donald Sutherland,1981
Wait Until Dark,108 min,Thriller,Not Rated,17.55,Terence Young,Audrey Hepburn,1967
Invasion U.S.A.,107 min,"Action, Thriller",R,17.54,Joseph Zito,Chuck Norris,1985
Silent Hill: Revelation,95 min,"Horror, Mystery, Thriller",R,17.53,M.J. Bassett,Adelaide Clemens,2012
Notes on a Scandal,92 min,"Crime, Drama, Romance",R,17.51,Richard Eyre,Cate Blanchett,2006
Empire,90 min,"Crime, Drama, Thriller",R,17.5,Franc. Reyes,John Leguizamo,2002
Lassiter,100 min,"Action, Crime, Drama",R,17.5,Roger Young,Tom Selleck,1984
Angel,94 min,"Action, Crime, Thriller",R,17.49,Robert Vincent O'Neil,Cliff Gorman,1983
Klute,114 min,"Crime, Mystery, Thriller",R,17.44,Alan J. Pakula,Jane Fonda,1971
The Curse of Frankenstein,82 min,"Horror, Sci-Fi, Thriller",Approved,17.44,Terence Fisher,Peter Cushing,1957
Dark Skies,97 min,"Horror, Sci-Fi, Thriller",PG-13,17.41,Scott Stewart,Keri Russell,2013
Disturbing Behavior,84 min,"Horror, Mystery, Sci-Fi",R,17.41,David Nutter,James Marsden,1998
Chappaquiddick,106 min,"Biography, Drama, History",PG-13,17.4,John Curran,Jason Clarke,2017
Addicted,106 min,"Drama, Romance, Thriller",R,17.38,Bille Woodruff,Sharon Leal,I 2014
Murder in the First,122 min,"Drama, Thriller",R,17.38,Marc Rocco,Christian Slater,1995
Outland,109 min,"Action, Crime, Sci-Fi",R,17.37,Peter Hyams,Sean Connery,1981
Eight Legged Freaks,99 min,"Action, Adventure, Comedy",PG-13,17.32,Ellory Elkayem,David Arquette,2002
To Live and Die in L.A.,116 min,"Action, Crime, Drama",R,17.31,William Friedkin,William Petersen,1985
Extreme Measures,118 min,"Crime, Drama, Mystery",R,17.31,Michael Apted,Hugh Grant,1996
A Most Wanted Man,122 min,"Crime, Drama, Thriller",R,17.24,Anton Corbijn,Philip Seymour Hoffman,2014
Angel Heart,113 min,"Horror, Mystery, Thriller",X,17.19,Alan Parker,Mickey Rourke,1987
Safe,94 min,"Action, Crime, Thriller",R,17.14,Boaz Yakin,Jason Statham,I 2012
Freejack,110 min,"Action, Crime, Sci-Fi",R,17.13,Geoff Murphy,Emilio Estevez,1992
Eastern Promises,100 min,"Crime, Drama, Thriller",R,17.11,David Cronenberg,Naomi Watts,2007
Diabolique,107 min,"Drama, Horror, Mystery",R,17.1,Jeremiah S. Chechik,Sharon Stone,1996
