Title,Duration,Genre,Rating,Gross,Director,Lead,Year
Shutter,85 min,"Horror, Mystery, Thriller",PG-13,25.93,Masayuki Ochiai,Joshua Jackson,I 2008
Innerspace,120 min,"Action, Adventure, Comedy",PG,25.89,Joe Dante,Dennis Quaid,1987
Alex Cross,101 min,"Action, Crime, Mystery",PG-13,25.89,Rob Cohen,Tyler Perry,2012
Æon Flux,93 min,"Action, Adventure, Sci-Fi",PG-13,25.86,Karyn Kusama,Charlize Theron,2005
Murder at 1600,107 min,"Action, Crime, Drama",R,25.83,Dwight H. Little,Wesley Snipes,1997
Betrayed,127 min,"Crime, Drama, Thriller",R,25.82,Costa-Gavras,Debra Winger,1988
The Lazarus Effect,83 min,"Horror, Mystery, Sci-Fi",PG-13,25.8,David Gelb,Olivia Wilde,2015
Candyman,99 min,"Horror, Thriller",R,25.79,Bernard Rose,Virginia Madsen,1992
Desperado,104 min,"Action, Crime, Thriller",R,25.63,Robert Rodriguez,Antonio Banderas,1995
Nancy Drew,99 min,"Comedy, Crime, Family",PG,25.61,Andrew Fleming,Emma Roberts,2007
The Mist,126 min,"Horror, Sci-Fi, Thriller",R,25.59,Frank Darabont,Thomas Jane,2007
Jumpin' Jack Flash,105 min,"Comedy, Romance, Thriller",R,25.59,Penny Marshall,Whoopi Goldberg,1986
Memento,113 min,"Mystery, Thriller",R,25.54,Christopher Nolan,Guy Pearce,2000
Serenity,119 min,"Action, Adventure, Sci-Fi",PG-13,25.51,Joss Whedon,Nathan Fillion,2005
All About the Benjamins,95 min,"Action, Comedy, Crime",R,25.48,Kevin Bray,Ice Cube,2002
Escape from L.A.,101 min,"Action, Adventure, Sci-Fi",R,25.48,John Carpenter,Kurt Russell,1996
The Fourth Kind,98 min,"Horror, Mystery, Sci-Fi",PG-13,25.46,Olatunde Osunsanmi,Milla Jovovich,2009
The International,118 min,"Action, Crime, Drama",R,25.45,Tom Tykwer,Clive Owen,I 2009
Ex Machina,108 min,"Drama, Sci-Fi, Thriller",R,25.44,Alex Garland,Alicia Vikander,2014
The Transporter,92 min,"Action, Crime, Thriller",PG-13,25.3,Louis Leterrier,Corey Yuen,2002
Black Widow,102 min,"Crime, Drama, Thriller",R,25.21,Bob Rafelson,Debra Winger,1987
Twisted,97 min,"Crime, Drama, Mystery",R,25.2,Philip Kaufman,Ashley Judd,I 2004
Escape Room: Tournament of Champions,88 min,"Action, Adventure, Horror",PG-13,25.19,Adam Robitel,Taylor Russell,2021
Fallen,124 min,"Action, Crime, Drama",R,25.19,Gregory Hoblit,Denzel Washington,1998
The Morning After,103 min,"Crime, Mystery, Romance",R,25.15,Sidney Lumet,Jane Fonda,1986
The VVitch: A New-England Folktale,92 min,"Drama, Fantasy, History",R,25.14,Robert Eggers,Anya Taylor-Joy,2015
Escape Plan,115 min,"Action, Thriller",R,25.13,Mikael Håfström,Sylvester Stallone,2013
Killer Elite,116 min,"Action, Crime, Thriller",R,25.12,Gary McKendry,Jason Statham,2011
The Reaping,99 min,"Horror, Thriller",R,25.12,Stephen Hopkins,Hilary Swank,2007
All the Money in the World,132 min,"Biography, Crime, Drama",R,25.11,Ridley Scott,Michelle Williams,2017
Against All Odds,128 min,"Action, Adventure, Crime",R,25.1,Taylor Hackford,Rachel Ward,1984
Winchester,99 min,"Drama, Fantasy, Horror",PG-13,25.09,Michael Spierig,Peter Spierig,2018
Midnight in the Garden of Good and Evil,155 min,"Crime, Drama, Mystery",R,25.08,Clint Eastwood,John Cusack,1997
Navy Seals,113 min,"Action, Adventure, Thriller",R,25.07,Lewis Teague,Charlie Sheen,1990
Grindhouse,191 min,"Action, Horror, Thriller",R,25.04,Robert Rodriguez,Eli Roth,2007
The Hills Have Eyes,90 min,"Horror, Thriller",R,25.0,Wes Craven,Susan Lanier,1977
Enter the Dragon,102 min,"Action, Crime, Drama",R,25.0,Robert Clouse,Bruce Lee,1973
The November Man,108 min,"Action, Thriller",R,24.98,Roger Donaldson,Pierce Brosnan,2014
The Craft,101 min,"Drama, Fantasy, Horror",R,24.88,Andrew Fleming,Robin Tunney,1996
From Russia with Love,115 min,"Action, Adventure, Thriller",PG,24.8,Terence Young,Sean Connery,1963
The Other Side of Midnight,165 min,"Drama, Romance, Thriller",R,24.65,Charles Jarrott,Marie-France Pisier,1977
Fargo,98 min,"Crime, Thriller",R,24.61,Joel Coen,Ethan Coen,1996
Unleashed,103 min,"Action, Crime, Drama",R,24.52,Louis Leterrier,Jet Li,2005
15 Minutes,120 min,"Action, Crime, Drama",R,24.4,John Herzfeld,Robert De Niro,2001
In the Heat of the Night,110 min,"Drama, Mystery, Thriller",Approved,24.38,Norman Jewison,Sidney Poitier,1967
Arlington Road,117 min,"Action, Crime, Drama",R,24.36,Mark Pellington,Jeff Bridges,1999
Dolores Claiborne,132 min,"Crime, Drama, Mystery",R,24.36,Taylor Hackford,Kathy Bates,1995
Class Action,110 min,"Drama, Thriller",R,24.28,Michael Apted,Gene Hackman,1991
The People Under the Stairs,102 min,"Comedy, Horror, Mystery",R,24.2,Wes Craven,Brandon Quintin Adams,1991
Dead Presidents,119 min,"Action, Crime, Drama",R,24.2,Albert Hughes,Allen Hughes,1995
Iron Eagle,117 min,"Action, Thriller, War",PG-13,24.16,Sidney J. Furie,Louis Gossett Jr.,1986
Tinker Tailor Soldier Spy,127 min,"Drama, Mystery, Thriller",R,24.15,Tomas Alfredson,Gary Oldman,2011
Body Heat,113 min,"Crime, Drama, Romance",R,24.06,Lawrence Kasdan,William Hurt,1981
Virtuosity,106 min,"Action, Crime, Sci-Fi",R,24.05,Brett Leonard,Denzel Washington,1995
Don't Be Afraid of the Dark,99 min,"Fantasy, Horror, Thriller",R,24.04,Troy Nixey,Katie Holmes,2010
Perfect Stranger,109 min,"Crime, Mystery, Thriller",R,23.98,James Foley,Halle Berry,2007
From Paris with Love,92 min,"Action, Crime, Thriller",R,23.98,Pierre Morel,John Travolta,2010
Graduation Day,96 min,"Horror, Mystery, Thriller",R,23.89,Herb Freed,Christopher George,1981
Striking Distance,102 min,"Action, Crime, Mystery",R,23.8,Rowdy Herrington,Bruce Willis,1993
The Wicker Man,102 min,"Horror, Mystery, Thriller",PG-13,23.64,Neil LaBute,Nicolas Cage,2006
Hot Fuzz,121 min,"Action, Comedy, Mystery",R,23.64,Edgar Wright,Simon Pegg,2007
The Losers,97 min,"Action, Adventure, Crime",PG-13,23.58,Sylvain White,Idris Elba,I 2010
Traitor,114 min,"Action, Crime, Drama",PG-13,23.53,Jeffrey Nachmanoff,Don Cheadle,2008
Ghost Story,110 min,"Drama, Horror, Thriller",R,23.37,John Irvin,Craig Wasson,1981
Reindeer Games,104 min,"Action, Adventure, Crime",R,23.36,John Frankenheimer,Ben Affleck,2000
The Usual Suspects,106 min,"Crime, Drama, Mystery",R,23.34,Bryan Singer,Kevin Spacey,1995
The Avengers,89 min,"Action, Adventure, Sci-Fi",PG-13,23.32,Jeremiah S. Chechik,Ralph Fiennes,1998
The Covenant,97 min,"Action, Adventure, Fantasy",PG-13,23.29,Renny Harlin,Steven Strait,2006
Faster,98 min,"Action, Crime, Drama",R,23.24,George Tillman Jr.,Dwayne Johnson,2010
Match Point,124 min,"Drama, Romance, Thriller",R,23.09,Woody Allen,Scarlett Johansson,2005
Stay Alive,85 min,"Fantasy, Horror, Mystery",PG-13,23.09,William Brent Bell,Jon Foster,2006
Sanctum,108 min,"Action, Adventure, Drama",R,23.07,Alister Grierson,Rhys Wakefield,2011
Transcendence,119 min,"Action, Drama, Sci-Fi",PG-13,23.02,Wally Pfister,Johnny Depp,I 2014
American Gigolo,117 min,"Crime, Drama, Mystery",R,23.0,Paul Schrader,Richard Gere,1980
The Russia House,123 min,"Drama, Romance, Thriller",R,23.0,Fred Schepisi,Sean Connery,1990
Guilty as Sin,107 min,"Crime, Drama, Thriller",R,22.89,Sidney Lumet,Rebecca De Mornay,1993
Missing in Action,101 min,"Action, Adventure, Drama",R,22.81,Joseph Zito,Chuck Norris,1984
On Her Majesty's Secret Service,142 min,"Action, Adventure, Thriller",PG,22.8,Peter R. Hunt,George Lazenby,1969
The Gallows,81 min,"Horror, Mystery, Thriller",R,22.76,Travis Cluff,Chris Lofing,2015
The Juror,118 min,"Crime, Drama, Thriller",R,22.75,Brian Gibson,Demi Moore,1996
Thunderheart,119 min,"Crime, Mystery, Thriller",R,22.66,Michael Apted,Val Kilmer,1992
Babylon A.D.,90 min,"Action, Adventure, Sci-Fi",PG-13,22.53,Mathieu Kassovitz,Vin Diesel,2008
The Black Dahlia,121 min,"Crime, Drama, Mystery",R,22.52,Brian De Palma,Josh Hartnett,2006
Lucky Number Slevin,110 min,"Crime, Drama, Thriller",R,22.49,Paul McGuigan,Josh Hartnett,2006
